name_en,short_desc,category,size
0_alarm_clock_01_2k_packed,mint green vintage alarm clock,clock,"0.1316,0.0667,0.1742"
0_all_purpose_cleaner_2k_packed,pink plastic cleaning bottle,bottle,"0.1568,0.1174,0.3197"
0_american_football_2k_packed,brown leather rugby ball,ball,"0.4533,0.2558,0.2558"
0_antique_ceramic_vase_01_2k_packed,white ceramic vase,vase,"0.2550,0.2550,0.4396"
0_antique_estoc_2k_packed,silver wrapped sword,sword,"0.3715,0.1491,1.4924"
0_antique_katana_01_2k_packed,ornate floral katana,sword,"1.0029,0.0934,0.0934"
0_arm_chair_01_2k_packed,gray upholstered berg re chair,chair,"0.8484,0.7658,1.0651"
0_barber_shop_chair_01_2k_packed,brown leather barber chair,chair,"0.7565,1.3279,1.4890"
0_barrel_01_2k_packed,weathered red metal barrel,barrel,"0.5630,0.5630,0.8800"
0_barrel_02_2k_packed,blue plastic barrel,barrel,"0.4882,0.4846,0.8800"
0_barrel_03_2k_packed,weathered blue gray metal drum,drum,"0.6339,0.6386,0.9305"
0_barrel_stove_2k_packed,rusted metal oil drum,drum,"0.5926,0.5926,0.8556"
0_baseball_01_2k_packed,white red baseball,baseball,"0.0735,0.0752,0.0753"
0_baseball_bat_2k_packed,black wrapped baseball bat,bat,"0.9132,0.0635,0.0635"
0_bleach_bottle_2k_packed,purple teal toilet bowl,toilet,"0.0884,0.0612,0.2937"
0_boombox_2k_packed,grey vintage boombox,speaker,"0.7238,0.1865,0.4701"
0_brass_pan_01_2k_packed,copper toned metal frying pan,pan,"0.4497,0.1913,0.0525"
0_brass_pot_01_2k_packed,textured ceramic pot,pot,"0.3019,0.3017,0.2909"
0_brass_pot_02_2k_packed,copper toned shallow stew pot,pot,"0.3667,0.3023,0.1085"
0_bull_head_2k_packed,dark bronze bull head,statue,"0.3064,0.2807,0.4330"
0_camera_01_2k_packed,vintage brass rangefinder camera,camera,"0.2139,0.2628,0.0778"
0_cannon_01_2k_packed,weathered bronze cannon,cannon,"2.2994,1.2333,0.7759"
0_cash_register_01_2k_packed,white mechanical cash register,register,"0.6005,0.6242,0.6214"
0_ceiling_fan_2k_packed,gray cylindrical ceiling fan,fan,"1.4629,1.4629,0.5163"
0_ceramic_vase_02_2k_packed,white ceramic jar,vase,"0.2184,0.2184,0.3092"
0_ceramic_vase_03_2k_packed,white marble vase,vase,"0.1122,0.1122,0.4144"
0_ceramic_vase_04_2k_packed,white ceramic vase,vase,"0.1811,0.1811,0.3419"
0_chandelier_02_2k_packed,gold pleated chandelier,chandelier,"0.6790,0.6191,0.8481"
0_chess_set_2k_packed,checkered marble chessboard,board,"0.5532,0.5532,0.1124"
0_Chest_of_drawers,mahogany wooden dresser,dresser,"1.2275,0.5367,0.9202"
0_chinese_armchair_2k_packed,dark brown wooden chair,chair,"0.8483,0.7887,1.5875"
0_chinese_cabinet_2k_packed,dark wood display cabinet,cabinet,"1.2625,0.5452,2.8721"
0_chinese_commode_2k_packed,dark wood console table,table,"4.4905,1.1699,2.0199"
0_chinese_stool_2k_packed,dark brown wooden stool,stool,"0.5990,0.5064,0.6306"
0_chinese_tea_table_2k_packed,dark wood coffee table,table,"0.8413,0.8356,0.4986"
0_Classic_table_old,antique wooden desk,desk,"2.5667,1.0692,0.8010"
0_Classic_table_v2,oval walnut coffee table,table,"2.5667,1.0692,0.8010"
0_coffee_cart_01_2k_packed,white marble coffee table,table,"1.5760,0.7584,1.7177"
0_coffee_table_01_2k_packed,teal storage coffee table,table,"1.5400,0.9728,0.5232"
0_compost_bags_2k_packed,garden floral compost bag,bag,"1.8281,0.9259,0.7073"
0_concrete_road_barrier_02_2k_packed,weathered concrete roadblock,bench,"1.5670,0.4422,1.1120"
0_concrete_road_barrier_2k_packed,gray concrete roadblock,roadblock,"1.5454,0.6409,0.8353"
0_covered_car_2k_packed,dark gray fabric car cover,cover,"4.3803,1.7890,1.4111"
0_croissant_2k_packed,golden brown flaky croissant,bread,"0.2000,0.0755,0.0620"
0_dartboard_2k_packed,worn black white dartboard,dartboard,"0.4507,0.0398,0.4507"
0_drain_cleaner_2k_packed,beige ergonomic drain bottle,bottle,"0.1654,0.0563,0.1786"
0_drawer_cabinet_2k_packed,black metal storage rack,rack,"1.1411,0.4881,1.8813"
0_drill_01_2k_packed,lime green cordless drill,drill,"0.1829,0.1851,0.0524"
0_dutch_ship_medium_2k_packed,weathered wooden pirate ship,boat,"0.2407,0.0681,0.2466"
0_electric_stove_2k_packed,white electric stove,stove,"0.5026,0.6476,0.8587"
0_Elegant_chair,black leather lounge chair,chair,"1.1755,1.2303,1.2543"
0_Elegant_chair_2_ottoman,gray tufted ottoman,ottoman,"0.8902,0.8362,0.4904"
0_folding_wooden_stool_2k_packed,weathered wooden stool,stool,"0.5471,0.5278,0.4420"
0_food_apple_01_2k_packed,red speckled apple,fruit,"0.0976,0.0959,0.0854"
0_food_kiwi_01_2k_packed,brown fibrous kiwi,fruit,"0.0901,0.0695,0.0686"
0_food_lime_01_2k_packed,green pebbled avocado,bowl,"0.0754,0.0601,0.0613"
0_food_pomegranate_01_2k_packed,reddish pink pomegranate,fruit,"0.1143,0.1154,0.1150"
0_gallinera_table_2k_packed,dark wooden chest,chest,"0.8301,0.5183,0.4878"
0_gamepad_2k_packed,gray vintage game controller,controller,"0.4041,0.4350,0.0189"
0_garden_gloves_01_2k_packed,teal fabric work glove,glove,"0.2990,0.2266,0.0760"
0_garden_hose_wall_mounted_01_2k_packed,dark green braided hose,hose,"0.4667,0.5570,0.2433"
0_garden_sprinkler_01_2k_packed,beige rubber platform dolly,dolly,"0.3508,0.2491,0.2030"
0_gothic_bed_01_2k_packed,dark wooden gothic bed,bed,"1.4938,2.0400,1.5338"
0_gothic_cabinet_01_2k_packed,dark wood two tier cabinet,cabinet,"1.7191,1.1165,2.3609"
0_gothic_commode_01_2k_packed,dark walnut wooden chest,chest,"1.2014,0.5807,1.2120"
0_hanging_picture_frame_03_2k_packed,ornate carved wooden frame,frame,"0.3850,0.0318,0.5024"
0_horse_head_2k_packed,bronze horse head sculpture,statue,"0.2149,0.3341,0.4187"
0_horse_statue_01_2k_packed,white wooden horse,horse,"0.1638,0.1078,0.2200"
0_kite_shield_2k_packed,weathered wooden rifle stock,shelf,"1.3941,0.5433,0.1347"
0_korean_fire_extinguisher_01_2k_packed,red metal fire extinguisher,extinguisher,"0.2800,0.3674,0.6593"
0_korean_public_payphone_01_2k_packed,gray digital wall mounted intercom,intercom,"0.4006,0.3012,0.7397"
0_ladder_sectioned_01_2k_packed,gray aluminum ladder,ladder,"0.6615,0.1776,2.1346"
0_large_iron_gate_2k_packed,dark wrought iron gate,gate,"2.9501,0.0973,2.9287"
0_Leather_armchair_old,brown leather chesterfield armchair,chair,"1.3535,1.1919,0.9831"
0_Leather_chair,cognac leather tufted booth chair,chair,"0.7653,0.7710,1.2625"
0_leather_cleaner_can_2k_packed,dark gray aerosol can,can,"0.0704,0.0704,0.1697"
0_Leather_sofa,brown leather chesterfield sofa,sofa,"2.9186,1.2028,0.9881"
0_lemon_2k_packed,pale yellow lemon,fruit,"0.0954,0.0687,0.0683"
0_lion_head_2k_packed,bronze lion head sculpture,statue,"0.3208,0.2066,0.4364"
0_lubricant_spray_2k_packed,yellow blue spray can,can,"0.0670,0.0646,0.1649"
0_magnifying_glass_01_2k_packed,dark gray magnifying glass,glass,"0.2716,0.1321,0.0267"
0_marble_bust_01_2k_packed,white plaster bust,statue,"0.2717,0.2997,0.5149"
0_measuring_tape_01_2k_packed,black yellow tape measure,tape,"0.1694,0.0406,0.0734"
0_megaphone_01_2k_packed,gray red megaphone,megaphone,"0.3880,0.3001,0.2301"
0_metal_detector_2k_packed,dark gray metal detector,detector,"0.8611,0.2379,0.9617"
0_metal_tool_chest_2k_packed,weathered red metal toolbox,toolbox,"0.6854,0.4072,0.6518"
0_modern_arm_chair_01_2k_packed,dark gray wooden armchair,chair,"0.8203,0.9866,1.0229"
0_Modern_sofa,white multi person sofa,sofa,"3.8299,1.2915,1.1021"
0_modern_wooden_cabinet_2k_packed,dark wood tv cabinet,cabinet,"2.4400,0.5200,0.6801"
0_multi_cleaner_5_litre_2k_packed,blue plastic bottle,bottle,"0.2193,0.1058,0.3003"
0_multi_cleaner_bottle_2k_packed,white plastic cleaning bottle,bottle,"0.0885,0.0898,0.2286"
0_Office_leather_chair,brown leather office chair,chair,"1.1001,1.1729,1.3872"
0_old_tyre_2k_packed,black rubber tire,tire,"0.6000,0.6000,0.1650"
0_ornate_medieval_mace_2k_packed,gray spiral drill bit,drill,"0.6300,0.0949,0.1017"
0_ornate_mirror_01_2k_packed,gold framed mirror,mirror,"0.4865,0.0260,0.7442"
0_ornate_war_hammer_2k_packed,silver barrel wooden rifle,rifle,"0.7112,0.1441,0.0348"
0_painted_wooden_cabinet_02_2k_packed,blue gray wooden bookshelf,bookcase,"0.9969,0.7223,2.5686"
0_painted_wooden_chair_01_2k_packed,white wooden chair,chair,"0.4318,0.5398,0.9565"
0_painted_wooden_chair_02_2k_packed,weathered gray blue wooden chair,chair,"0.6394,0.6621,1.2638"
0_painted_wooden_nightstand_2k_packed,weathered wood end table,table,"0.5046,0.5087,0.6155"
0_painted_wooden_table_2k_packed,slate blue wooden workbench,workbench,"2.4056,1.1370,0.9586"
0_picke_dirty_01_2k_packed,weathered gray wooden hoe,hoe,"1.1156,0.5498,0.0691"
0_planter_pot_clay_2k_packed,weathered terracotta pot,pot,"0.2660,0.2635,0.2219"
0_plastic_bottle_gallon_2k_packed,white plastic bottle,bottle,"0.1663,0.1264,0.2745"
0_plastic_monobloc_chair_01_2k_packed,white plastic garden chair,chair,"0.6419,0.6276,0.8798"
0_plunger_2k_packed,brown rubber plunger,plunger,"0.1721,0.1721,0.4211"
0_pot_enamel_01_2k_packed,brown ceramic kettle,kettle,"0.2629,0.1805,0.1783"
0_power_box_01_2k_packed,gray metal electrical box,box,"0.3455,0.1071,0.5031"
0_rockingchair_01_2k_packed,dark brown wooden rocking chair,chair,"0.7081,0.8335,0.9949"
0_Round_table,round carved mahogany coffee table,table,"1.3066,1.3079,0.7691"
0_round_wooden_table_01_2k_packed,dark brown wooden coffee table,table,"1.3993,1.3993,1.0050"
0_rusted_spade_01_2k_packed,weathered metal shovel,shovel,"1.1009,0.1681,0.0456"
0_rusted_wheel_rim_01_2k_packed,rusted metal wheel rim,wheel,"0.4029,0.3955,0.1541"
0_scandinavian_masonry_heater_2k_packed,blue grey metal stove,stove,"1.1677,1.3353,2.3605"
0_school_chair_01_2k_packed,navy plastic school chair,chair,"0.5659,0.6753,1.0060"
0_school_desk_01_2k_packed,light wood school desk,desk,"0.7118,0.5460,0.8826"
0_side_table_01_2k_packed,light oak coffee table,table,"0.5500,0.4500,0.5507"
0_SM_002_Book001,gray white finance book,bookcase,"0.1958,0.2979,0.0256"
0_SM_002_Book002,white geometric architecture book,bookcase,"0.2103,0.3012,0.0253"
0_SM_002_Deco002,white geometric star shaped ornament,ornament,"0.0925,0.0925,0.0922"
0_SM_002_Deco005,white marble gold serving tray,tray,"0.8463,0.0676,1.0332"
0_SM_003_Deco001,white ladder jewelry organizer,shelf,"0.1182,0.0667,0.1246"
0_SM_003_Deco003,clear glass appetizer tray,tray,"0.0491,0.0491,0.0411"
0_SM_003_Deco004,clear glass nail polish bottle,bottle,"0.0416,0.0416,0.0473"
0_SM_Armchair,taupe upholstered armchair,chair,"0.9095,0.9000,0.7993"
0_SM_Armchair_2,brown fabric armchair,chair,"0.9095,0.9000,0.7283"
0_SM_Bag_16,white quilted handbag,bag,"0.3262,0.1356,0.2076"
0_SM_Bag_23,taupe white handbag,bag,"0.3587,0.1694,0.3372"
0_SM_Bag_33,beige quilted handbag,bag,"0.3971,0.3054,0.2184"
0_SM_Bag_34,pale grey leather bag,bag,"0.6234,0.3573,0.3968"
0_SM_Bag_35,brown leather crossbody bag,bag,"0.3730,0.2220,0.2533"
0_SM_Bag_36,beige leather tote bag,bag,"0.2960,0.2007,0.3201"
0_SM_Bag_37,gray quilted leather handbag,bag,"0.2837,0.2094,0.2345"
0_SM_Bag_38,pale pink leather clutch,clutch,"0.4128,0.1304,0.1954"
0_SM_Bag_39,brown canvas duffle bag,bag,"0.3145,0.1459,0.2417"
0_SM_Bag_40,denim blue shoulder bag,bag,"0.2784,0.0829,0.3868"
0_SM_Bag_41,light blue leather hobo bag,bag,"0.2768,0.0983,0.2844"
0_SM_Bag_42,beige leather doctor bag,bag,"0.2306,0.1447,0.2825"
0_SM_Bag_44,white leather tote bag,bag,"0.3917,0.1524,0.2322"
0_SM_Bag_45,light blue silicone tote bag,bag,"0.3703,0.1779,0.3687"
0_SM_Bathtub,white chrome bathtub,bathtub,"1.7702,0.9956,1.0575"
0_SM_Bed,grey upholstered bed,bed,"2.0823,2.1855,1.1077"
0_SM_Bed_2,white upholstered bed,bed,"2.2652,2.2382,1.0196"
0_SM_Bed_Modular_Pillow_1,light gray pillow,pillow,"0.5601,0.1993,0.2439"
0_SM_Bed_Modular_Pillow_2,gray white striped pillow,pillow,"0.4005,0.2030,0.2285"
0_SM_Bed_Modular_Pillow_3,dark soft pillow,pillow,"0.6969,0.2769,0.3454"
0_SM_Blinds_2,brown wooden horizontal blinds,blind,"1.6376,0.0936,1.7436"
0_SM_Blinds_3,wooden slat blinds,blind,"1.6376,0.0936,2.0437"
0_SM_Book001_02,white magazine,magazine,"0.1834,0.2807,0.0257"
0_SM_Book002_02,white framed art book,bookcase,"0.2290,0.3134,0.0342"
0_SM_Cabinet,cream fluted display cabinet,cabinet,"1.2896,0.4386,0.9838"
0_SM_Cabinet002,gray beige vanity table,table,"1.9350,0.5100,1.2767"
0_SM_Carpet_thr001,gray blue camouflage carpet,rug,"1.3306,1.3250,0.0100"
0_SM_Chair_1,white upholstered dining chair,chair,"0.6465,0.6375,0.8508"
0_SM_Chair_2,light gray upholstered dining chair,chair,"0.4983,0.6139,0.8899"
0_SM_Chair_Sec001,white framed armchair,chair,"0.7123,0.6925,1.1037"
0_SM_Coffee_cup_2,dark gray ceramic mug,mug,"0.0810,0.1072,0.0978"
0_SM_Coffee_table_1,light wood coffee table,table,"1.1000,0.6000,0.4000"
0_SM_Commode,light wood dresser,dresser,"1.4685,0.6091,0.8841"
0_SM_Conference_table,dark gray metal table,table,"3.3000,1.4000,0.7000"
0_SM_Deco_Sec004,metallic bronze nail polish,nail,"0.0230,0.0230,0.0861"
0_SM_Deco_Sec013,black synthetic makeup brush,brush,"0.0154,0.1404,0.0178"
0_SM_Deco_thr001,rose gold metal frame,frame,"0.1147,0.1003,0.1477"
0_SM_Deco_thr008,cream glass cylinder vase,vase,"0.1845,0.1810,0.4320"
0_SM_Deco007,beige kraft coffee bag,bag,"0.0682,0.0372,0.1115"
0_SM_Deco008_02,white ceramic sugar canister,container,"0.0942,0.0949,0.0873"
0_SM_Deco011,beige paper shopping bag,bag,"0.3884,0.1159,0.3202"
0_SM_Deco011_02,yellow green lemon slice,fruit,"0.0642,0.0563,0.0634"
0_SM_Deco012,beige paper shopping bag,bag,"0.3875,0.1146,0.3202"
0_SM_Deco017_02,white wooden electric kettle,kettle,"0.2310,0.1401,0.1617"
0_SM_Deco018,white ceramic vase,vase,"0.2157,0.1465,0.3206"
0_SM_Deco018_02,gray mesh portable radio,radio,"0.2542,0.0951,0.2219"
0_SM_Deco019,sage green coffee machine,machine,"0.1702,0.4051,0.2995"
0_SM_Deco019_02,white daisies rustic pot,pot,"0.3219,0.2938,0.3465"
0_SM_Deco020,white marble plate,plate,"0.1897,0.1732,0.0200"
0_SM_Deco021_02,stainless steel countertop oven,oven,"0.4150,0.3012,0.2468"
0_SM_Deco023_02,sage green plastic storage box,box,"0.2868,0.1894,0.1624"
0_SM_Deco025,cream ceramic stew pot,pot,"0.2220,0.1822,0.1294"
0_SM_Deco029,green chrome table lamp,lamp,"0.2617,0.2678,0.3665"
0_SM_Desk_Fir001,white ornate desk,desk,"1.4368,0.5830,0.9989"
0_SM_Desk_Sec001,white ornate desk,desk,"1.3862,0.5872,0.7450"
0_SM_Desk_thr001,white gold neoclassical desk,desk,"1.4422,0.5100,0.7260"
0_SM_Door_1,dark gray modern door,door,"0.7777,0.1318,2.0971"
0_SM_Drawer,taupe wood storage cabinet,cabinet,"0.4210,0.5580,0.5733"
0_SM_DressingTable001,white open leg vanity table,table,"2.6024,0.6000,0.7828"
0_SM_DressingTable003,dark gray white chrome vanity table,table,"1.4517,0.6351,0.8108"
0_SM_Fleshiness_01,lush green fern pot,vase,"0.3773,0.3770,0.4043"
0_SM_Fleshiness_03,silver green ceramic pot,vase,"0.2193,0.2197,0.5709"
0_SM_Fleshiness_04,vibrant green rosemary plant,plant,"0.2573,0.2560,0.4399"
0_SM_Fleshiness_05,green ribbed cactus pot,pot,"0.2297,0.2297,0.3528"
0_SM_Fleshiness_06,white veined zebra plant,plant,"0.3564,0.3802,0.3102"
0_SM_Fleshiness_08,pale green ceramic pot,vase,"0.2272,0.2420,0.3829"
0_SM_Fleshiness_10,lush green philodendron,plant,"0.2890,0.3084,0.3623"
